id,statsYear,playerName,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame
1275,2026,Jake LaRavia,51,27.1,9.3,4.1,2.0,0.5,1.4
1276,2026,Davion Mitchell,43,29.0,9.1,2.5,7.2,0.1,1.2
1277,2026,Jonas Valanciunas,41,14.6,9.0,5.2,1.3,0.7,0.2
1278,2026,Sam Hauser,50,24.1,9.0,3.8,1.4,0.3,0.6
1279,2026,Vit Krejci,49,22.3,9.0,2.0,1.5,0.3,0.8
1280,2026,Svi Mykhailiuk,44,24.0,8.9,2.5,1.9,0.1,0.5
1281,2026,Isaac Okoro,45,25.8,8.8,2.6,1.5,0.5,0.6
1282,2026,Tristan da Silva,46,22.5,8.8,3.3,1.2,0.3,0.8
1283,2026,Jordan Goodwin,50,22.0,8.7,4.8,2.2,0.2,1.5
1284,2026,Luguentz Dort,42,27.7,8.7,3.9,1.2,0.5,0.9
1285,2026,Simone Fontecchio,50,17.3,8.5,3.2,1.5,0.2,0.5
1286,2026,Gary Trent Jr.,46,24.0,8.5,1.1,1.5,0.1,0.6
1287,2026,Jay Huff,52,19.6,8.5,3.8,1.3,1.9,0.5
1288,2026,Dominick Barlow,42,23.8,8.4,5.0,1.2,0.6,1.0
1289,2026,Moussa Diabate,49,25.3,8.4,8.7,1.6,1.0,0.7
1290,2026,Ryan Kalkbrenner,41,23.0,8.4,6.0,0.7,1.5,0.6
1291,2026,Day'Ron Sharpe,49,18.3,8.3,6.6,2.3,0.4,1.1
1292,2026,Kentavious Caldwell-Pope,49,21.2,8.3,2.5,2.8,0.2,0.8
1293,2026,Draymond Green,44,26.7,8.3,5.6,5.2,0.7,0.8
1294,2026,Cason Wallace,50,26.7,8.2,3.0,2.1,0.2,2.1
1295,2026,Daniss Jenkins,42,16.8,8.2,1.8,3.3,0.2,0.9
1296,2026,Ronald Holland II,49,20.7,8.1,4.3,1.4,0.4,1.4
1297,2026,Danny Wolf,37,19.9,8.1,4.6,2.0,0.4,0.5
1298,2026,Buddy Hield,44,17.5,8.0,2.5,1.5,0.2,0.8
1299,2026,Collin Murray-Boyles,42,22.5,8.0,5.1,2.1,0.9,0.9
1300,2026,Luka Garza,43,16.9,8.0,4.3,1.1,0.5,0.4
1301,2026,Luke Kennard,47,20.6,8.0,2.1,2.1,0.1,0.7
1302,2026,Nikola Jovic,41,18.2,8.0,3.6,2.4,0.4,0.6
1303,2026,Jose Alvarado,41,21.9,7.9,2.8,3.1,0.1,0.9
1304,2026,Kris Dunn,51,27.3,7.8,2.9,3.3,0.2,1.5
1305,2026,Quinten Post,53,17.3,7.7,3.9,1.3,0.5,0.4
1306,2026,Terance Mann,44,25.3,7.6,3.3,3.5,0.2,0.8
1307,2026,Bruce Brown,53,24.8,7.6,4.0,2.2,0.3,1.1
1308,2026,Justin Champagnie,48,19.1,7.6,5.7,1.1,0.6,0.8
1309,2026,Luke Kornet,42,23.4,7.5,6.8,2.0,1.2,0.5
1310,2026,Tyrese Martin,37,18.8,7.3,2.9,1.9,0.1,0.6
1311,2026,Bones Hyland,44,14.8,7.2,1.7,2.6,0.2,0.6
1312,2026,Precious Achiuwa,46,20.3,7.2,5.5,1.2,0.5,0.8
1313,2026,Javonte Green,51,18.6,7.1,2.8,0.7,0.3,1.4
1314,2026,Kobe Sanders,43,21.5,7.0,2.5,1.7,0.1,0.6
1315,2026,Will Riley,43,16.2,7.0,2.2,1.4,0.1,0.6
1316,2026,Jamal Shead,53,22.3,7.0,1.9,5.5,0.2,1.0
1317,2026,Andre Drummond,38,19.8,6.9,8.8,0.8,0.9,0.6
1318,2026,Walter Clayton Jr.,47,18.3,6.9,2.0,3.3,0.3,0.6
1319,2026,Patrick Williams,49,18.9,6.8,3.0,1.2,0.3,0.6
1320,2026,Cole Anthony,35,15.1,6.7,2.5,3.5,0.3,0.6
1321,2026,Will Richard,48,19.2,6.7,2.4,1.4,0.1,1.2
1322,2026,Brook Lopez,44,17.8,6.7,2.7,0.9,1.0,0.5
1323,2026,Ryan Nembhard,38,18.8,6.7,1.8,4.9,0.0,0.3
1324,2026,Sidy Cissoko,48,22.2,6.6,2.5,1.6,0.3,0.8
1325,2026,Jared McCain,38,16.7,6.6,2.0,1.7,0.1,0.6
1326,2026,Nae'Qwan Tomlin,42,17.2,6.5,3.1,1.0,0.6,0.8
1327,2026,Nique Clifford,50,20.6,6.5,3.0,1.5,0.3,0.6
1328,2026,Gradey Dick,53,16.1,6.5,2.2,0.7,0.1,0.6
1329,2026,Jaxson Hayes,42,17.4,6.4,3.8,0.8,0.6,0.4
1330,2026,Isaiah Jackson,38,16.8,6.4,5.6,0.8,0.8,0.7
1331,2026,Dru Smith,52,17.4,6.3,2.6,2.8,0.3,1.5
1332,2026,Ja'Kobe Walter,43,18.2,6.3,2.1,0.9,0.1,0.9
1333,2026,Ben Sheppard,41,21.4,6.2,3.0,1.7,0.1,0.5
1334,2026,Jaylin Williams,38,19.2,6.1,5.0,2.5,0.6,0.6
1335,2026,Drake Powell,40,19.0,6.0,1.6,1.6,0.2,0.5
1336,2026,Ryan Dunn,46,19.5,6.0,4.1,1.5,0.4,0.9
1337,2026,Spencer Jones,46,23.6,6.0,3.1,0.8,0.4,0.9
1338,2026,Goga Bitadze,42,16.0,5.9,5.0,1.2,1.2,0.7
1339,2026,Cody Williams,39,19.3,5.8,2.3,0.9,0.4,0.6
1340,2026,Dean Wade,43,22.8,5.8,4.1,1.6,0.4,0.8
1341,2026,Paul Reed,36,12.1,5.7,4.3,1.2,0.6,0.8
1342,2026,Sion James,53,24.1,5.7,3.5,1.9,0.3,0.6
1343,2026,Keon Ellis,45,17.6,5.6,1.4,0.6,0.5,1.1
1344,2026,Yves Missi,46,19.2,5.6,5.7,1.2,1.4,0.3
1345,2026,Jordan Walsh,46,18.3,5.5,4.3,0.8,0.5,0.8
